Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,종목명,Ticker,변화율(%),5일이평,20일이평,60일이평,RSI,Log_Return,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Histogram,Bollinger_Mid,Bollinger_Upper,Bollinger_Lower,Bollinger_Bandwidth,Donchian_High,Donchian_Low,Momentum_10,Cumulative_Return,한국은행 기준금리,콜금리(익일물),예금은행 수신금리,예금은행 대출금리,가계신용,"M2(광의통화, 평잔)",실업률,소비자물가지수,농산물 및 석유류제외 소비자물가지수,UpdatedAt,Target_1D,Target_20D,Return_1D,Return_20D,Return,Predicted_Return_GB_1D,Predicted_Return_GB_20D,Predicted_Return_Dense_LSTM,예측종가_GB_1D,예측종가_GB_20D,예측종가_Dense_LSTM
2025-05-02,54664.7013121547,55161.6531422652,53869.5783839779,53968.96875,22454204,0.0,0.0,삼성전자,005930.KS,-2.1621607458702896,55082.140625,54873.4197265625,55817.34270833333,41.64767958217689,-0.021858779336587773,55107.80947544309,55468.61780636611,-360.8083309230133,-325.225058425143,-35.58327249787027,54873.4197265625,56895.35434977588,52851.485103349114,7.369450029864379,56254.9453125,52676.89453125,-795.12109375,65.21336455425966,3.5,2.783,2.71,4.19,1914605.2,4235818.7,2.9,116.38,116.38,2025-09-18 21:32:19,54267.13671875,57447.62890625,0.005524803894830768,0.06445667272917828,-0.021621607458702896,0.022280591524126193,0.006534249683898127,-0.22922932,55171.42929769708,54321.61546699499,41597.69814778492
2025-05-02,178818.29128024195,185596.2421202957,177821.53380376345,185396.890625,3886874,0.0,0.0,SK하이닉스,000660.KS,4.788741026801335,181549.396875,176959.3296875,192959.55859375,51.85834476071446,0.04677614717714871,180121.2647209737,182969.84528181155,-2848.580560837843,-4344.073532452883,1495.49297161504,176959.3296875,188771.06948832222,165147.58988667777,13.349666074889724,185396.890625,164265.625,10964.34375,228.53196789743393,3.5,2.783,2.71,4.19,1914605.2,4235818.7,2.9,116.38,116.38,2025-09-18 21:32:19,190181.3125,217186.296875,0.025806376033983176,0.17146677132951513,0.04788741026801335,0.01617278415878819,0.017512068945775502,0.81236076,188395.27452078857,188643.5737559574,336006.0502528846
2025-05-02,325000.0,327500.0,320500.0,320500.0,202479,0.0,0.0,LG에너지솔루션,373220.KS,-1.2326656394452962,336900.0,336000.0,342541.6666666667,41.64572408963912,-0.012403259783419912,336272.79690639,337450.29888843436,-1177.5019820443704,-140.57264696524186,-1036.9293350791286,336000.0,358412.40258146223,313587.59741853777,13.340715822298947,350000.0,314000.0,-22000.0,-36.53465346534654,3.5,2.783,2.71,4.19,1914605.2,4235818.7,2.9,116.38,116.38,2025-09-18 21:32:19,322500.0,288500.0,0.0062402496099844,-0.0998439937597504,-0.012326656394452962,0.08106892852191831,0.11485901049414823,-0.22711186,346482.59159127483,357312.31286337454,247710.64373850822
2025-05-02,1043000.0,1086000.0,1042000.0,1085000.0,73970,0.0,0.0,삼성바이오로직스,207940.KS,3.136882129277563,1052400.0,1043050.0,1088616.6666666667,56.689387407314506,0.03088687267690472,1054325.7383862182,1055357.7373237242,-1031.9989375059959,-5575.104944965404,4543.106007459408,1043050.0,1092995.1277851413,993104.8722148587,9.576746615242097,1085000.0,992000.0,26000.0,193.1864383708089,3.5,2.783,2.71,4.19,1914605.2,4235818.7,2.9,116.38,116.38,2025-09-18 21:32:19,1041000.0,1034000.0,-0.04055299539170507,-0.047004608294930875,0.03136882129277563,-0.0172626336710764,-0.010782592036605785,13.02529,1066270.0424668822,1073300.8876402827,15217439.14604187
2025-05-02,185509.86658526928,185802.46889849525,183559.1844970961,184729.59375,464020,0.0,0.0,현대차,005380.KS,-0.6295891608391613,185431.846875,181018.4296875,190172.50338541667,48.77798624600818,-0.006315794314794756,184180.74129303443,185534.66334513522,-1353.9220521007956,-2517.3488122848325,1163.426760184037,181018.4296875,190697.94747794824,171338.91189705176,10.694510837552192,188045.765625,173123.03125,7510.109375,106.72706547505703,3.5,2.783,2.71,4.19,1914605.2,4235818.7,2.9,116.38,116.38,2025-09-18 21:32:19,182974.0,183886.359375,-0.009503586915131187,-0.004564695660735193,-0.006295891608391613,0.015630435805831896,-0.017756648274946153,-0.17093986,187616.99780654677,181449.41532780757,153151.94235255383
2025-05-02,38150.0,38650.0,37950.0,38050.0,1350989,0.0,0.0,카카오,035720.KS,-0.5228758169934622,38150.0,39005.0,41113.25533854167,41.207130953231136,-0.005242475964849983,38675.892646032735,39469.49447883343,-793.6018328006976,-793.6204460229427,0.018613222245107863,39005.0,40965.63899363452,37044.36100636548,10.053270060938454,41850.0,37750.0,-150.0,87.53231971518991,3.5,2.783,2.71,4.19,1914605.2,4235818.7,2.9,116.38,116.38,2025-09-18 21:32:19,38350.0,41600.0,0.00788436268068331,0.09329829172141918,-0.005228758169934622,0.028226364355942706,-0.012749010524642937,-0.21490707,39124.01316374361,37564.90014953734,29872.786742448807
2025-05-02,91000.0,91000.0,88600.0,89400.0,768903,0.0,0.0,기아,000270.KS,-1.106194690265483,89460.0,86965.0,90035.35143229166,50.88323086359461,-0.011123585218662316,88721.0801943977,89007.82429218388,-286.7440977861843,-896.0911219182785,609.3470241320942,86965.0,92230.68833907043,81699.31166092957,12.109902464371716,90600.0,82000.0,4400.0,248.9159455199974,3.5,2.783,2.71,4.19,1914605.2,4235818.7,2.9,116.38,116.38,2025-09-18 21:32:19,88100.0,89600.0,-0.0145413870246085,0.0022371364653243847,-0.011061946902654829,0.014012944029630724,-0.009518253865345255,-1.5302562,90652.75719624899,88549.06810443813,-47404.90000247955
2025-05-02,216000.0,217500.0,207000.0,210000.0,377264,0.0,0.0,LG화학,051910.KS,-2.777777777777779,219400.0,219650.0,233792.34635416666,39.27870039092342,-0.028170876966696335,220073.94234662715,225079.81936765317,-5005.877021026012,-5046.694991435907,40.81797040989477,219650.0,232403.12139286153,206896.87860713847,11.612220708273647,229500.0,203500.0,-11000.0,-33.50161120054529,3.5,2.783,2.71,4.19,1914605.2,4235818.7,2.9,116.38,116.38,2025-09-18 21:32:19,208000.0,198700.0,-0.009523809523809525,-0.05380952380952381,-0.02777777777777779,0.011323608902143121,0.11335868312353035,-0.23835847,212377.95786945007,233805.32345594134,159944.71549987793
2025-05-02,199800.0,200500.0,197300.0,197400.0,280801,0.0,0.0,NAVER,035420.KS,-1.5461346633416473,196680.0,189205.0,205391.61067708334,54.040984601078314,-0.015582119747242681,193721.13161327576,194365.30450251236,-644.1728892365936,-2897.877034274942,2253.7041450383485,189205.0,202714.0573904594,175695.9426095406,14.279810142923713,200500.0,176900.0,13800.0,70.70680380844696,3.5,2.783,2.71,4.19,1914605.2,4235818.7,2.9,116.38,116.38,2025-09-18 21:32:19,199100.0,185500.0,0.008611955420466059,-0.06028368794326241,-0.015461346633416473,0.012804294204835689,0.00506302033235589,-0.19662878,199927.56767603455,198399.44021360704,158585.47310829163
2025-05-02,253243.1723336595,254715.51635885518,250789.265625,250789.265625,173041,0.0,0.0,POSCO홀딩스,005490.KS,-1.9193854446787117,255402.609375,252187.98828125,267878.4734375,41.63293790799515,-0.019380447962140158,254296.92062456545,259504.74542414924,-5207.824799583788,-6626.59865725025,1418.7738576664615,252187.98828125,262885.028165621,241490.94839687902,8.483385713391888,267966.59375,244899.875,1472.359375,35.6054933930553,3.5,2.783,2.71,4.19,1914605.2,4235818.7,2.9,116.38,116.38,2025-09-18 21:32:19,256678.640625,243494.28125,0.02348336155984547,-0.029088104535973398,-0.019193854446787117,0.01704364640066971,0.01872253675229968,-0.20813844,255063.62918939616,255484.67686774628,198590.3726183027
